"","Species UID","number_of_individuals","species_mean_velocity","sd_velocity","species_mean_EE_W","sd_EE_W","mean_EE_J_min","mean_EE_O2_kg_min","mean_EE_O2_g_hr","mean_EE_O2_g_day"
"1","Acanthurus nigrofuscus",14,28.6372156137319,7.64862187429829,21.1187174828273,17.4309696160231,1267.12304896964,0.089866882905648,0.00539201297433888,0.129408311384133
"2","Zebrasoma xanthurum",21,24.5567066822211,9.46962254740201,19.947616135325,29.0992480445838,1196.8569681195,0.0848834729162768,0.00509300837497661,0.122232200999439
